|Best Bound|Valor Obj |Time      |Sol Count|Gap    |N°|
|    2410.0|    2410.0|      0.56|        1|    0.0| 1|
|    2410.0|    2410.0|      0.61|        1|    0.0| 2|
|    2410.0|    2410.0|      0.91|        1|    0.0| 3|
|    2410.0|    2410.0|       1.1|        2|    0.0| 4|
|    2468.0|    2468.0|      1.53|        3|    0.0| 5|
|    2470.0|    2470.0|      5.68|        6|    0.0| 6|
|    2656.0|    2656.0|     65.95|       10|    0.0| 7|
|    2808.0|    2808.0|    957.37|        9|    0.0| 8|
|    3106.0|    3032.0|   7200.07|       10|   0.02| 9|
|    3502.0|    2824.0|    7200.1|        9|   0.24|10|
|    3504.0|    2876.0|   7200.09|        6|   0.22|11|
|    3556.0|    2872.0|    7200.1|        9|   0.24|12|
|    3614.0|    2838.0|    7200.3|        6|   0.27|13|
|    3652.0|    2928.0|    7200.1|        7|   0.25|14|
|    3696.0|    2824.0|   7200.17|        7|   0.31|15|
